Parameter,Vrednost
Skupni RTP,0.96049
Standardni odklon,4.43383
Hit Frequency,0.39123
Bonus Trigger,1 in 90.7

Simbol,RTP %
P1,0.09634
P2,0.08895
P3,0.08736
P4,0.0815
P5,0.08286
P6,0.0908
CP,0.43269
WILD,0.0
SCAT,0.0
